name,dft_gibbs_free_energy_ev,dft_electronic_energy_ev,dft_entropy_ev,dft_enthalpy_ev,dft_dipole_moment_d,dft_homo_ev,dft_lumo_ev,dft_gap_ev,hf_gibbs_free_energy_ev,hf_electronic_energy_ev,hf_entropy_ev,hf_enthalpy_ev,hf_dipole_moment_d,hf_homo_ev,hf_lumo_ev,hf_gap_ev,mass_au
002-M-BA1-b,-27617.1092630108,-27623.0011746604,1.877778984598,-27615.2314840262,1.47466,-6.2925,-1.4983,4.7942,-27275.0773536018,-27281.8896859583,1.795316197468,-27273.2820374043,0.87236,-8.813,4.0489,12.8619,282.26
002-M-BA1-pipi,-27617.1085702086,-27623.0640749,1.822257388266,-27615.2863130924,1.69901,-6.7665,-1.3131,5.4534,-27275.1298041195,-27281.9537712543,1.772166371032,-27273.3576377485,1.19181,-9.258,4.4306,13.6886,282.26
005-MEL-CA,-25917.8734244624,-25922.0922469926,1.641525255974,-25916.2318994786,0.85984,-6.4902,-0.8343,5.6559,-25599.4507118269,-25604.3063657446,1.564143109338,-25597.8865687176,0.93514,-8.9909,4.6443,13.6352157396,255.20
006-MEL-UA,-29496.3212687777,-29501.2253421163,1.791888649524,-29494.5293801281,3.15832,-6.1902,-1.1975,4.9927,-29133.2855112852,-29138.9802591986,1.668532570474,-29131.6169787147,2.68196,-8.2371,3.9070,12.144128906,294.24
007-MEL-CR,-22922.5036556619,-22927.7837538131,1.687933754446,-22920.8157219074,6.66567,-6.3708,-0.2151,6.1557,-22635.2167529027,-22641.2903248655,1.651415783532,-22633.5653368471,6.85797,-8.6600,5.1451,13.8051793932,239.24
003a-pos3,-25042.2584955474,-25047.0418185706,1.68886057473,-25040.5696349727,1.80279,-5.6022,-1.5789,4.0233,-24733.0059411729,-24738.528929369,1.624539355866,-24731.381401817,1.75174,-7.9515,3.934,11.8855,253.22
003-pos3,-25042.2350989136,-25047.0573459397,1.661965643312,-25040.5731332703,2.04241,-5.8804,-1.3353,4.5451,-24733.0108506537,-24738.5421557421,1.608890079726,-24731.401960574,1.4845,-8.2321,4.3568,12.5889,253.22
004b-pos4,-25042.548431926,-25047.3594716649,1.657524742832,-25040.8909071831,2.35875,-5.6696,-1.6393,4.0303,-24733.3228818727,-24738.8804478669,1.601992534054,-24731.7208893386,2.21294,-8.0242,3.9335,11.9577,253.22
005-POS6,-36751.5481954437,-36759.5752174849,2.212175797488,-36749.3360196462,3.29897,-5.6196,-1.5003,4.1193,-36294.2449259014,-36303.4581747749,2.114651772572,-36292.1302741289,2.3575,-7.8848,3.9491,11.8339,378.36
008a-pos8,-36751.8358218465,-36759.88494798,2.18896937134,-36749.6468527473,2.41814,-5.5673,-1.6099,3.9574,-36294.5545426529,-36303.7993733493,2.095822572228,-36292.4587200807,2.07808,-7.9704,3.9298,11.9002,378.36
009a-pos9,-50084.9343532894,-50095.2249365916,2.706421081626,-50082.2279322078,3.78478,-5.5793,-1.5997,3.9796,-49466.4512340727,-49478.2515591813,2.59309947844,-49463.8581343222,3.30217,-7.9486,3.9224,11.871,506.44
010a-pos10,-50084.9300658612,-50095.2053734998,2.721136462518,-50082.2089293987,1.95044,-5.6311,-1.6348,3.9963,-49466.4349807035,-49478.2352630901,2.593726429096,-49463.8412542744,1.96999,-7.9273,3.929,11.8563,506.44
010-pos10,-50085.0310367542,-50095.4031824183,2.654982827978,-50082.3760539262,2.49675,-5.806,-1.7386,4.0674,-49466.2107685636,-49477.9683399368,2.62618173799,-49463.5845870977,3.84832,-7.8585,3.4908,11.3493,506.44
