iter	RMSE
0	0.853420755
1	0.794925116
2	0.7399721835
3	0.6938911296
4	0.651893422
5	0.6146059005
6	0.5811884083
7	0.5510151654
8	0.524593719
9	0.501114758
10	0.4797555757
11	0.4609005717
12	0.4453469207
13	0.4318568005
14	0.4213619365
15	0.411372492
16	0.4017793196
17	0.3917711931
18	0.3835584449
19	0.3767933384
20	0.3710237887
21	0.3665309177
22	0.360934979
23	0.3557701264
24	0.3523325767
25	0.3477282781
26	0.3439980556
27	0.3409229631
28	0.3380522794
29	0.3348649168
30	0.33337341
31	0.3307890618
32	0.3288726739
33	0.3262387922
34	0.3240341128
35	0.3224417123
36	0.3198074781
37	0.3186032075
38	0.3170471129
39	0.3149748174
40	0.3141147719
41	0.3134559373
42	0.3121449984
43	0.3107358662
44	0.3102402461
45	0.3067913781
46	0.3059491737
47	0.3051437864
48	0.3042458387
49	0.3030941399
50	0.3016303229
51	0.3012463347
52	0.3007431163
53	0.29908386
54	0.2977795802
55	0.2967869741
56	0.2954389147
57	0.2944933398
58	0.2934841713
59	0.2930305295
60	0.2914226981
61	0.2908013628
62	0.2898991054
63	0.2886040054
64	0.2875484707
65	0.2862156659
66	0.28519228
67	0.2844449802
68	0.2836624649
69	0.2830086478
70	0.2825671111
71	0.2821147965
72	0.280416388
73	0.2800160556
74	0.2788011419
75	0.2777919883
76	0.2770707315
77	0.2762700293
78	0.27531632
79	0.273908581
80	0.2734806121
81	0.2727267707
82	0.2720926043
83	0.2714706591
84	0.2707193755
85	0.2696069557
86	0.2691313044
87	0.2687132121
88	0.2683081595
89	0.2678539004
90	0.2671557407
91	0.2663476075
92	0.2656471594
93	0.26528249
94	0.2643084617
95	0.2638727568
96	0.2633945264
97	0.2627431595
98	0.2615996799
99	0.2610966912
100	0.2609568536
101	0.2602296821
102	0.2599449471
103	0.259703271
104	0.2593572161
105	0.2588188703
106	0.2585076292
107	0.2579737415
108	0.2577345884
109	0.2571098272
110	0.2565903667
111	0.2563714125
112	0.2559179737
113	0.2551823867
114	0.2549867006
115	0.2538751184
116	0.2535751089
117	0.2529071591
118	0.2517620362
119	0.251064033
120	0.2503175126
121	0.2500083822
122	0.2493365564
123	0.248703905
124	0.2484333153
125	0.2480844926
126	0.2474381018
127	0.2466974811
128	0.245976131
129	0.2452291606
130	0.2448088853
131	0.2443525554
132	0.2433081545
133	0.2428568957
134	0.242535714
135	0.2422150201
136	0.2420466945
137	0.2408796689
138	0.2402916651
139	0.2399502527
140	0.2396979196
141	0.2393099843
142	0.2389708773
143	0.2377925779
144	0.2369149747
145	0.2363310597
146	0.2360099599
147	0.2354152786
148	0.2346653328
149	0.234281861
150	0.2339937245
151	0.2335627966
152	0.232705753
153	0.2317076349
154	0.2307502807
155	0.230177859
156	0.2298634956
157	0.2289322496
158	0.228588303
159	0.2285502614
160	0.2279962183
161	0.227498789
162	0.2271417982
163	0.2263937619
164	0.2256316328
165	0.2252519474
166	0.2251526669
167	0.2248229366
168	0.2242994874
169	0.2239893638
170	0.2234324991
171	0.2229574294
172	0.2227340981
173	0.2225387967
174	0.2223546152
175	0.2220245318
176	0.2213168871
177	0.221218465
178	0.2209256724
179	0.22056131
180	0.2201182665
181	0.2200163993
182	0.219629716
183	0.2190167799
184	0.218948339
185	0.2183109671
186	0.2172644866
