iter	Passed	Remaining
0	0	262
1	0	236
2	1	229
3	1	226
4	2	227
5	2	223
6	3	220
7	3	221
8	4	218
9	4	218
10	4	218
11	5	216
12	5	215
13	6	214
14	6	212
15	7	212
16	7	211
17	7	212
18	8	211
19	8	210
20	9	225
21	10	224
22	10	222
23	11	221
24	11	219
25	11	218
26	12	217
27	12	215
28	13	214
29	13	213
30	14	212
31	14	212
32	15	213
33	15	213
34	16	213
35	16	213
36	17	213
37	17	213
38	18	214
39	18	215
40	19	215
41	19	215
42	20	215
43	20	214
44	21	215
45	21	215
46	22	215
47	22	215
48	23	215
49	23	215
50	24	216
51	25	215
52	25	216
53	26	216
54	26	216
55	27	215
56	27	215
57	28	215
58	28	214
59	29	214
60	29	214
61	30	213
62	30	213
63	31	213
64	31	212
65	32	212
66	32	211
67	33	211
68	33	211
69	34	211
70	34	210
71	35	210
72	35	210
73	36	209
74	37	209
75	37	209
76	38	209
77	38	208
78	39	208
79	39	207
80	40	207
81	40	207
82	41	207
83	41	207
84	42	206
85	42	206
86	43	206
87	43	205
88	44	205
89	44	204
90	45	204
91	46	204
92	46	203
93	47	203
94	47	202
95	48	202
96	48	202
97	49	202
98	49	201
99	50	201
100	50	201
101	51	200
102	51	200
103	52	200
104	52	199
105	53	199
106	54	198
107	54	198
108	55	197
109	55	197
110	56	197
111	56	196
112	57	196
113	57	195
114	58	195
115	58	194
116	59	194
117	59	194
118	60	193
119	61	193
120	61	192
121	62	192
122	62	191
123	63	191
124	63	190
125	64	190
126	64	189
127	65	189
128	65	189
129	66	188
130	66	188
131	67	187
132	67	187
133	68	186
134	68	186
135	69	185
136	69	185
137	70	184
138	71	184
139	71	183
140	72	183
141	72	182
142	73	182
143	73	182
144	74	181
145	74	181
146	75	180
147	75	180
148	76	180
149	77	179
150	77	179
151	78	178
152	78	178
153	79	178
154	79	177
155	80	176
156	80	176
157	81	175
158	81	175
159	82	174
160	82	174
161	83	174
162	84	173
163	84	173
164	85	172
165	85	172
166	86	171
167	86	171
168	87	170
169	87	170
170	88	169
171	88	169
172	89	169
173	89	168
174	90	167
175	90	167
176	91	166
177	91	166
178	92	166
179	93	165
180	93	165
181	94	164
182	94	164
183	95	163
184	95	163
185	96	162
186	96	162
187	97	161
188	97	161
189	98	160
190	98	159
191	99	159
192	99	158
193	100	158
194	100	157
195	101	157
196	101	156
197	102	156
198	102	155
199	103	155
200	103	154
201	104	154
202	104	153
203	105	153
204	106	152
205	106	152
206	107	151
207	107	151
208	108	150
209	108	150
210	109	149
211	109	149
212	110	148
213	111	148
214	111	147
215	112	147
216	112	147
217	113	146
218	113	146
219	114	145
220	114	145
221	115	144
222	115	144
223	116	143
224	117	143
225	117	142
226	118	142
227	118	141
228	119	141
229	119	140
230	120	140
231	121	139
232	121	139
233	122	138
234	122	138
235	123	137
236	123	137
237	124	136
238	124	136
239	125	135
240	125	135
241	126	134
242	127	134
243	127	133
244	128	133
245	128	132
246	129	132
247	129	131
248	130	131
249	130	130
250	131	130
251	131	129
252	132	129
253	132	128
254	133	128
255	133	127
256	134	127
257	135	126
258	135	126
259	136	125
260	136	125
261	137	124
262	137	124
263	138	123
264	138	123
265	139	122
266	140	122
267	140	121
268	141	121
269	141	120
270	142	120
271	142	119
272	143	119
273	143	118
274	144	118
275	145	117
276	145	117
277	146	116
278	146	116
279	147	115
280	147	115
281	148	114
282	148	114
283	149	113
284	149	113
285	150	112
286	150	112
287	151	111
288	152	111
289	152	110
290	153	109
291	153	109
292	154	108
293	154	108
294	155	107
295	155	107
296	156	106
297	156	106
298	157	105
299	158	105
300	158	104
301	159	104
302	159	103
303	160	103
304	160	102
305	161	102
306	161	101
307	162	101
308	162	100
309	163	100
310	163	99
311	164	99
312	164	98
313	165	98
314	165	97
315	166	96
316	167	96
317	167	96
318	168	95
319	168	95
320	169	94
321	170	93
322	170	93
323	171	92
324	171	92
325	172	91
326	172	91
327	173	90
328	173	90
329	174	89
330	174	89
331	175	88
332	176	88
333	176	87
334	177	87
335	177	86
336	178	86
337	178	85
338	179	85
339	179	84
340	180	83
341	180	83
342	181	82
343	181	82
344	182	81
345	182	81
346	183	80
347	183	80
348	184	79
349	184	79
350	185	78
351	185	78
352	187	77
353	187	77
354	188	76
355	188	76
356	189	75
357	190	75
358	190	74
359	191	74
360	191	73
361	192	73
362	192	72
363	193	72
364	193	71
365	194	71
366	194	70
367	195	70
368	195	69
369	196	69
370	197	68
371	197	67
372	198	67
373	198	66
374	199	66
375	199	65
376	200	65
377	200	64
378	201	64
379	202	63
380	202	63
381	203	62
382	203	62
383	204	61
384	204	61
385	205	60
386	205	60
387	206	59
388	206	58
389	207	58
390	207	57
391	208	57
392	208	56
393	209	56
394	209	55
395	210	55
396	210	54
397	211	54
398	211	53
399	212	53
400	213	52
401	213	52
402	214	51
403	214	51
404	215	50
405	215	49
406	216	49
407	216	48
408	217	48
409	217	47
410	218	47
411	218	46
412	219	46
413	219	45
414	220	45
415	221	44
416	221	44
417	222	43
418	222	43
419	223	42
420	223	41
421	224	41
422	224	40
423	225	40
424	225	39
425	226	39
426	227	38
427	227	38
428	228	37
429	228	37
430	229	36
431	229	36
432	230	35
433	230	35
434	231	34
435	231	34
436	232	33
437	232	32
438	233	32
439	234	31
440	234	31
441	235	30
442	235	30
443	236	29
444	237	29
445	237	28
446	238	28
447	238	27
448	239	27
449	239	26
450	240	26
451	240	25
452	241	25
453	241	24
454	242	23
455	242	23
456	243	22
457	243	22
458	244	21
459	244	21
460	245	20
461	246	20
462	246	19
463	247	19
464	247	18
465	248	18
466	248	17
467	249	17
468	249	16
469	250	15
470	250	15
471	251	14
472	251	14
473	252	13
474	253	13
475	253	12
476	254	12
477	254	11
478	255	11
479	255	10
480	256	10
481	256	9
482	257	9
483	258	8
484	258	7
485	259	7
486	259	6
487	260	6
488	260	5
489	261	5
490	261	4
491	262	4
492	262	3
493	263	3
494	264	2
495	264	2
496	265	1
497	265	1
498	266	0
499	266	0
